GameID,Name,Genre,ReleaseDate,Description,LanguageSupport,UnitsSold,Tags,RequireAge
89,Guitar Hero: World Tour,Misc,2008-10-26,"Rock out with Guitar Hero: World Tour, the ultimate music rhythm game. Create your own band, play as a guitar, bass, drums, or vocals, and jam to over 85 songs from top artists. Customize your character and stage, and battle against friends in multiplayer mode.",English,330,"Sandbox, Choices Matter, Casual",10
90,Halo 4,Shooter,2012-11-6,"Halo 4' is a first-person shooter game where players take on the role of Master Chief as he battles against alien forces to save humanity. With stunning visuals, intense gameplay, and a gripping storyline, 'Halo 4' is a must-play for fans of the genre.",English,275,"Exploration, Relaxing, Realistic, Racing, Third-Person",10
91,Halo: Reach,Shooter,2010-9-14,"Halo: Reach' is a first-person shooter game set in the science fiction universe of the Halo series. Players take on the role of Noble Six, a member of an elite group of soldiers known as Spartans, as they fight against an alien invasion on the planet Reach.","English, Japanese",428,"Horror, Visual Novel, Roguelike, Puzzle",10
92,Halo: The Master Chief Collection,Shooter,2014-11-11,"Join Master Chief in this epic collection of Halo games, featuring enhanced graphics and multiplayer modes. Battle against the Covenant and Flood across multiple galaxies in the ultimate sci-fi shooter experience.",English,81,"Platformer, Third-Person, Sandbox",0
93,Hitman 2: Silent Assassin,Action,2002-10-1,"Become the ultimate assassin in Hitman 2: Silent Assassin. Take on the role of Agent 47 as you complete dangerous missions around the world. Use stealth, strategy, and precision to eliminate targets and escape undetected. Will you be able to fulfill your contracts and become a legendary hitman?","Chinese, English, French, German, Japanese",151,"Sci-Fi, Strategy, Puzzle, Action RPG, Multiplayer",10
94,Jak and Daxter: The Precursor Legacy,Platform,2001-12-4,"Embark on an epic adventure with Jak and his trusty sidekick Daxter as they explore a vibrant world filled with dangerous creatures and ancient mysteries. Master platforming challenges, uncover hidden secrets, and collect powerful artifacts to save their land from a dark threat.","English, Japanese",84,"Realistic, Horror, Sci-Fi, Fantasy, Platformer",0
95,James Bond 007: Agent Under Fire,Shooter,2001-11-13,"Join James Bond as he battles against a terrorist organization in 'Agent Under Fire'. Use stealth, gadgets, and sharp shooting skills to complete thrilling missions across exotic locations. Save the world from destruction in this action-packed shooter game.","English, Japanese",86,"Survival, Casual, Story Rich, Car Simulation, Third-Person",16
96,James Bond 007: Nightfire,Shooter,2002-11-18,"Join James Bond in his mission to stop a global criminal organization in this fast-paced shooter game. Use gadgets, stealth, and sharpshooting skills to navigate exotic locations, foil evil plans, and save the world from disaster.","English, Japanese",161,"Adventure, Survival, Strategy",18
97,Just Dance 2014,Music,2013-10-8,"Just Dance 2014 is a rhythm-based dancing game where players follow on-screen dance moves to popular songs. With over 40 tracks to choose from and multiplayer modes for up to four players, it's a fun and interactive way to get moving and groove to the music.","Chinese, French, Korean, Spanish",184,"Family Friendly, Casual, Survival, Open World",0
98,Just Dance 4,Music,2012-10-9,"Just Dance 4 is a rhythm-based dance game where players follow on-screen instructions to mimic dance moves set to popular songs. Featuring a variety of dance styles and multiplayer modes, players can compete with friends or dance solo to top the leaderboards.",English,139,"Sandbox, Horror, Open World, Tactical",0
99,Kung Fu Panda,Platform,2008-6-3,"Join Po, the lovable panda, on an epic adventure to become the Dragon Warrior in this action-packed platform game. Master kung fu moves, battle enemies, and save the Valley of Peace from the evil Tai Lung. Are you ready to unleash your inner warrior?",Korean,69,"Multiplayer, Racing, Crafting, Choices Matter, Horror",18
100,L.A. Noire,Adventure,2011-11-15,"Step into the shoes of detective Cole Phelps in 1940s Los Angeles, solving crimes and unraveling a web of corruption. Use your skills of interrogation and deduction to crack cases in this noir-inspired open-world adventure game.","French, German, Japanese, Korean, Spanish",111,"Horror, Sandbox, Strategy, Open World, Turn-based Combat",18
101,LEGO Batman: The Videogame,Adventure,2008-9-23,"Join Batman and Robin as they team up to take down Gotham City's most notorious villains in this action-packed LEGO adventure. Build, battle, and solve puzzles as you explore iconic locations from the Batman universe. Can you save the city from chaos?","Chinese, English, French, Japanese, Korean, Spanish",75,"Sci-Fi, Sandbox, Roguelike, Puzzle",16
102,LEGO Indiana Jones: The Original Adventures,Adventure,2008-6-3,"Join Indiana Jones and his companions on a brick-filled adventure through iconic scenes from the original trilogy. Solve puzzles, battle enemies, and unearth hidden treasures in this family-friendly LEGO game.",English,116,"Relaxing, Strategy, Racing, Sci-Fi",18
103,LEGO Star Wars: The Complete Saga,Action,2007-11-6,"Relive the epic adventures of all six Star Wars movies in LEGO form. Play as your favorite characters, build and battle your way through iconic scenes, and unlock over 120 characters. May the Force be with you in LEGO Star Wars: The Complete Saga.","Chinese, French, Japanese, Spanish",364,"Choices Matter, Open World, First-Person Shooter",0
104,LEGO Star Wars: The Video Game,Action,2005-4-2,"Play as iconic Star Wars characters in LEGO form, battling through levels inspired by the original trilogy. Use lightsabers, blasters, and the Force to defeat enemies and solve puzzles. Enjoy humorous cutscenes and cooperative gameplay in this family-friendly adventure.","Chinese, German, Korean, Spanish",279,"Sci-Fi, Multiple Endings, Multiplayer",0
105,LittleBigPlanet 2,Platform,2011-1-18,"Join Sackboy in a whimsical adventure through imaginative worlds filled with puzzles, challenges, and customization options in LittleBigPlanet 2. Create your own levels and share them with the community for endless fun in this charming platformer.","Chinese, French, Korean, Spanish",106,"Racing, First-Person Shooter, Roguelike, Fantasy",0
106,Madden NFL 06,Sports,2005-8-8,"Experience the thrill of American football in Madden NFL 06. Customize your team, call plays, and lead them to victory in intense gridiron battles. With improved graphics and gameplay mechanics, this game offers an immersive experience for football fans.","French, Korean, Spanish",187,"Puzzle, Multiple Endings, Turn-based Combat",16
107,Madden NFL 13,Sports,2012-8-28,"Experience the thrill of football like never before in Madden NFL 13. Control your favorite NFL teams and players, strategize plays, and compete in intense matches. With improved graphics and gameplay mechanics, this game offers an immersive and realistic football experience.",Chinese,74,"Survival, Multiplayer, Family Friendly, Car Simulation",16
108,Madden NFL 16,Sports,2015-8-25,"Madden NFL 16 is a realistic and immersive football simulation game that allows players to experience the thrill of the NFL like never before. With improved graphics, gameplay, and new features, fans can build their ultimate team, compete in online matches, and lead their favorite NFL franchise to victory.","English, French, Korean, Spanish",68,"Family Friendly, Third-Person, Realistic, Multiple Endings, Platformer",18
109,Madden NFL 17,Sports,2016-8-23,"Madden NFL 17 is a football simulation game that allows players to experience the thrill of American football with realistic gameplay, graphics, and player animations. Build and manage your own team, compete in online multiplayer matches, and lead your team to victory in the ultimate football experience.","English, German, Korean, Spanish",75,"Tactical, Visual Novel, Open World, Sandbox",18
110,Madden NFL 2002,Sports,2001-8-19,"Madden NFL 2002 is a football simulation game that allows players to take control of their favorite NFL teams and lead them to victory. With realistic gameplay, stunning graphics, and authentic player and team stats, this game provides an immersive football experience for fans of the sport.",English,81,"Horror, Casual, Multiple Endings",10
111,Madden NFL 2003,Sports,2002-8-12,"""Madden NFL 2003 is a fast-paced football simulation game with realistic gameplay and graphics. Choose your favorite NFL team, create your own player, and compete in various game modes including season, playoffs, and multiplayer matches. Take your team to victory and become a football legend.""","English, Japanese",127,"Third-Person, Platformer, Sci-Fi",16
112,Madden NFL 2004,Sports,2003-8-12,"Experience the excitement of American football in Madden NFL 2004. Play as your favorite teams and players, strategize plays, and compete in exhilarating matches. With realistic graphics and gameplay, this game offers an immersive sports gaming experience.","Chinese, English, Korean, Spanish",218,"First-Person Shooter, Tactical, Co-op, Racing",0
113,Madden NFL 2005,Sports,2004-8-9,"Get ready to experience the excitement of American football with Madden NFL 2005. Take control of your favorite NFL team, manage the roster, and compete in thrilling matches against other players. With improved graphics and gameplay mechanics, this game is a must-play for football fans.",English,125,"Turn-based Combat, Action RPG, Tactical, Car Simulation, Puzzle",16
114,Mario & Sonic at the Olympic Games,Sports,2008-1-22,"Compete as iconic video game characters Mario and Sonic in a variety of Olympic events. Play solo or with friends in this fun-filled sports game featuring popular events like track and field, swimming, and gymnastics. Who will take home the gold?","English, Japanese",433,"Tactical, Car Simulation, Casual, Platformer, Sci-Fi",16
115,Mario & Sonic at the Olympic Winter Games,Sports,2009-10-13,"Compete in various winter sports events alongside iconic characters from the Mario and Sonic universes. Choose your favorite characters and participate in thrilling events like snowboarding, skiing, and bobsledding to claim victory in the Olympic Winter Games.","English, French, Korean, Spanish",470,"Multiplayer, Open World, Racing",10
116,Mass Effect 2,Role-Playing,2010-1-26,"As Commander Shepard, players must assemble a team of elite warriors to save humanity from a powerful alien threat in this action-packed RPG. Make tough decisions, form alliances, and explore a vast galaxy in this critically acclaimed sci-fi adventure.",English,176,"Car Simulation, Family Friendly, Platformer, Exploration",16
117,Mass Effect 3,Role-Playing,2012-3-6,"In Mass Effect 3, players take on the role of Commander Shepard as they lead a team of elite soldiers to save the galaxy from an ancient alien race known as the Reapers. Make difficult choices, form alliances, and engage in intense combat in this epic sci-fi adventure.",English,78,"Choices Matter, Platformer, Multiple Endings, Survival",0
118,Max Payne,Shooter,2001-12-6,"Max Payne is a gritty third-person shooter game where players step into the shoes of a troubled ex-cop seeking revenge for his family's murder. With intense gunplay, slow-motion gameplay mechanics, and a dark, noir-inspired storyline, Max Payne delivers a thrilling and immersive experience.",English,76,"Adventure, Sandbox, Visual Novel, Family Friendly",0
119,Medal of Honor: Frontline,Shooter,2002-5-28,"Join the fight as Lieutenant Jimmy Patterson in Medal of Honor: Frontline. Engage in intense WWII battles across Europe, from D-Day to the Battle of the Bulge. Use authentic weapons and tactics to defeat the enemy and earn your place in history.","Japanese, Spanish",174,"Third-Person, Roguelike, Realistic",16
120,Medal of Honor: Rising Sun,Shooter,2003-11-11,"Fight through the Pacific Theater as Marine Corporal Joseph Griffin in this WWII shooter. Engage in intense battles across iconic locations, from Pearl Harbor to Guadalcanal, to defeat the Japanese forces and earn the Medal of Honor.","Chinese, English, French, Japanese, Spanish",211,"Roguelike, Choices Matter, Strategy",18
121,Metal Gear Solid V: The Phantom Pain,Action,2015-9-1,"Metal Gear Solid V: The Phantom Pain is a stealth action game where players take on the role of Venom Snake as he seeks revenge on those who destroyed his mercenary group. With open-world gameplay, advanced stealth mechanics, and intense combat sequences, players must navigate through a dangerous, war-torn landscape.","Chinese, German",64,"Horror, Racing, Action RPG, Fantasy",0
122,Michael Jackson: The Experience,Misc,2010-11-23,Dance and groove to the iconic hits of the King of Pop in Michael Jackson: The Experience. Follow along with his signature moves in a rhythm-based game that will have you feeling like a smooth criminal on the dance floor.,English,110,"Action RPG, Tactical, Co-op, Racing, Realistic",10
123,Microsoft Flight Simulator,Simulation,1996-10-31,"Experience realistic flight simulation with Microsoft Flight Simulator. Explore stunning landscapes, fly iconic planes, and navigate through dynamic weather conditions. Choose your own adventure with customizable settings and enjoy the thrill of flying like never before.",English,146,"Survival, Strategy, Visual Novel",0
124,Midnight Club 3: DUB Edition,Racing,2005-6-27,"Race through the streets of various cities in customizable vehicles in Midnight Club 3: DUB Edition. Compete in intense races, complete missions, and show off your driving skills in this fast-paced and adrenaline-pumping racing game.",English,90,"Action RPG, Multiple Endings, Open World",18
125,Minecraft,Misc,2014-10-7,"Minecraft is a sandbox game where players can build, explore, and survive in a blocky world filled with endless possibilities. Collect resources, craft tools, and construct impressive structures while facing off against dangerous mobs in this beloved and iconic game.","Chinese, French, Japanese, Korean, Spanish",189,"Sandbox, Roguelike, Multiple Endings, Multiplayer",16
126,Mortal Kombat X,Fighting,2015-4-14,"""Mortal Kombat X is a brutal and intense fighting game that pits iconic characters against each other in bloody battles. Players can use a variety of combos, special moves, and environmental hazards to defeat their opponents in fast-paced matches.""","German, Japanese, Spanish",91,"Horror, First-Person Shooter, Action RPG, Sandbox, Sci-Fi",16
127,MySims,Simulation,2007-9-18,"Create and design your own unique town in 'MySims'. Customize your Sims, build homes, and interact with quirky characters as you bring your town to life. Explore different neighborhoods, complete tasks, and unlock new features to make your town thrive in this charming simulation game.","Chinese, German, Japanese",113,"Fantasy, Crafting, Choices Matter, Realistic",10
128,NBA 2K13,Sports,2012-10-2,"NBA 2K13 is a basketball simulation game that allows players to compete in realistic NBA games with their favorite teams and players. Featuring improved graphics and gameplay mechanics, this game offers an immersive experience for basketball fans.","English, Japanese",81,"Sci-Fi, Multiplayer, Car Simulation, Exploration",0
129,NBA 2K16,Sports,2015-9-29,"Experience the thrill of professional basketball in NBA 2K16. Play as your favorite teams and players, build your own custom player, and compete in intense matches and tournaments. With realistic graphics and gameplay, this game brings the excitement of the NBA right to your fingertips.",Korean,137,"Sci-Fi, Casual, Third-Person",0
130,NBA 2K17,Sports,2016-9-16,"NBA 2K17 is a basketball simulation game that allows players to experience the excitement of the NBA. With realistic graphics, player customization, and a variety of game modes, including MyCareer and MyTeam, fans can immerse themselves in the world of professional basketball like never before.",Korean,209,"Platformer, First-Person Shooter, Survival",16
131,NBA 2K18,Sports,2017-9-19,"""NBA 2K18 is a realistic basketball simulation game that allows players to experience the excitement of the NBA. With stunning graphics and immersive gameplay, compete against friends or online in intense matches, customize your own player, and build your dream team to dominate the court.""","English, Japanese",70,"Tactical, Strategy, Casual, Co-op, Roguelike",0
132,Namco Museum,Misc,2001-6-10,"Relive classic arcade nostalgia with Namco Museum, featuring a collection of iconic games like Pac-Man, Galaga, and Dig Dug. Play through different eras of gaming history and challenge yourself to beat high scores in this retro gaming compilation.","English, German, Japanese, Korean, Spanish",99,"Adventure, Multiple Endings, Open World, Car Simulation, Co-op",0
133,Namco Museum Vol.1,Misc,1996-7-31,"Relive classic arcade games with 'Namco Museum Vol.1'. Featuring iconic titles like Pac-Man, Galaga, and Dig Dug, this collection offers hours of nostalgic gameplay for fans of retro gaming.",English,246,"Sci-Fi, Realistic, Puzzle, Survival",10
134,Namco Museum Vol.3,Misc,1997-1-31,"Relive classic arcade nostalgia with 'Namco Museum Vol.3'. Featuring beloved titles such as Galaga, Dig Dug, and Pole Position, this collection offers hours of retro gaming fun. Challenge your friends to beat your high scores and experience the golden age of gaming all over again.","English, French, German, Japanese, Korean",186,"Third-Person, Fantasy, Sci-Fi, Survival",10
135,Namco Museum: 50th Anniversary,Misc,2005-8-30,"Relive the golden age of arcade gaming with Namco Museum: 50th Anniversary! Play classic titles like Pac-Man, Galaga, and Dig Dug, all in one nostalgic collection. Compete for high scores and unlock bonus content in this celebration of Namco's iconic arcade history.","German, Spanish",156,"Exploration, Casual, Platformer",0
136,Need for Speed III: Hot Pursuit,Racing,1998-3-25,Race through exotic locations in high-speed cars while avoiding police pursuit. Choose to play as a racer or cop in intense multiplayer modes. Customize your vehicle and outmaneuver opponents to become the ultimate speed demon.,"English, Japanese",73,"Platformer, Car Simulation, Crafting, Choices Matter, Horror",16
137,Need for Speed Underground,Racing,2003-11-17,"Race through the streets of a vibrant city in 'Need for Speed Underground'. Customize your car, compete in intense races, and evade the cops in this high-octane racing game. Upgrade your ride and dominate the underground racing scene.","English, German, Japanese, Korean, Spanish",463,"Sci-Fi, Visual Novel, Sandbox, Car Simulation",18
138,Need for Speed Underground 2,Racing,2004-11-15,"Race through the streets of a vibrant city in 'Need for Speed Underground 2'. Customize your ride, compete in thrilling races, and evade the law as you rise through the underground racing scene. Fast cars, intense action, and adrenaline-pumping gameplay await in this high-speed racing game.",English,185,"Action RPG, Puzzle, Realistic, Open World",16
139,Need for Speed: Most Wanted,Racing,2005-11-15,Race through the city streets in high-speed pursuits against rival drivers and evade the cops in 'Need for Speed: Most Wanted'. Customize and upgrade your car to become the most notorious street racer in town. Will you outsmart your opponents and claim the title of Most Wanted?,English,178,"Family Friendly, Casual, Racing",16
140,Overwatch,Shooter,2016-5-24,"Overwatch' is a team-based first-person shooter where players choose from a diverse roster of characters with unique abilities to compete in objective-based game modes. With strategic gameplay and intense battles, teamwork is essential to secure victory in this fast-paced multiplayer game.","Chinese, English, Korean, Spanish",171,"Open World, Sci-Fi, Car Simulation, Co-op",10
141,Pac-Man Collection,Puzzle,2001-7-12,"""Pac-Man Collection"" is a classic puzzle game where players navigate a maze, eating dots and avoiding ghosts. Collect power-ups to turn the tables on the ghosts and advance through challenging levels. With multiple versions of Pac-Man included, this collection offers hours of nostalgic fun.","English, German, Spanish",79,"Racing, Open World, Car Simulation",10
142,Pro Evolution Soccer 2008,Sports,2008-3-11,"""Pro Evolution Soccer 2008 offers realistic soccer gameplay with improved graphics and controls. Compete against friends or AI in various modes including Master League and Become a Legend. Customize teams, players, and tactics to dominate the pitch and claim victory in this thrilling sports game.""","Korean, Spanish",82,"Tactical, Platformer, Family Friendly, Adventure",10
143,Ratchet & Clank: Size Matters,Platform,2007-2-13,"Embark on a thrilling adventure with Ratchet and Clank as they shrink down to minuscule sizes to navigate through hazardous environments, battle enemies, and solve puzzles. Master new weapons, gadgets, and abilities to save the day in this action-packed platformer.",English,434,"Action RPG, Casual, Sci-Fi, Story Rich, Platformer",0
144,Rayman,Platform,1995-9-1,"Join Rayman in his quest to save the Glade of Dreams from the evil Mr. Dark. Run, jump, and punch your way through colorful levels filled with quirky enemies and challenging obstacles. With stunning visuals and smooth gameplay, Rayman is a classic platformer that will keep you entertained for hours.","Chinese, Korean",96,"Co-op, Racing, Sandbox",10
145,Red Dead Redemption,Action,2011-10-11,"Explore the Wild West as outlaw John Marston in Red Dead Redemption. Engage in intense shootouts, horseback riding, and a gripping story of revenge and redemption. Choose your path in this open-world action game filled with bandits, cowboys, and frontier justice.","English, Korean",305,"Platformer, Racing, Crafting, First-Person Shooter",0
146,Red Dead Redemption 2,Action-Adventure,2018-10-26,"Immerse yourself in the wild west as outlaw Arthur Morgan in Red Dead Redemption 2. Explore a vast open world, engage in thrilling gunfights, and make tough moral decisions that shape your destiny. Will you be a ruthless outlaw or a noble gunslinger? The choice is yours.",English,294,"Survival, Sandbox, Exploration, Open World",0
147,Resident Evil 5,Action,2009-3-13,"Resident Evil 5 is a survival horror action game where players navigate through a zombie-infested African village to uncover a deadly conspiracy. With intense combat, cooperative gameplay, and a gripping storyline, players must work together to survive and unravel the mysteries behind the outbreak.","Chinese, English, French, German, Spanish",229,"Sci-Fi, Realistic, Sandbox, Third-Person",10
148,Resident Evil 6,Action,2012-10-2,"Resident Evil 6 is a fast-paced action game that follows multiple characters as they battle against hordes of infected creatures in a race against time to stop a global bioterrorist attack. With intense combat, strategic co-op gameplay, and a gripping storyline, survival is the ultimate challenge.","English, Japanese",183,"Choices Matter, Sci-Fi, Adventure, Fantasy, First-Person Shooter",18
149,Rugrats in Paris: The Movie,Action,2000-10-29,"Join Tommy, Chuckie, and the rest of the Rugrats gang as they embark on a wild adventure in Paris. Help them navigate through obstacles, solve puzzles, and defeat enemies as they try to save Chuckie's father from an evil robot. Experience the excitement of the beloved animated movie in this action-packed game.","Chinese, French, Japanese",89,"Car Simulation, Family Friendly, Puzzle, Racing, First-Person Shooter",0
150,SOCOM: U.S. Navy SEALs,Shooter,2002-8-27,"Engage in tactical warfare as a member of the elite U.S. Navy SEALs team in SOCOM. Complete high-risk missions, utilize advanced weaponry, and work together with teammates to complete objectives in intense multiplayer battles.","English, Japanese",103,"Family Friendly, Roguelike, Strategy, Racing",18
151,Saints Row 2,Action,2008-10-14,"In Saints Row 2, players step into the role of a gang member seeking revenge in the crime-ridden city of Stilwater. With intense action, customizable characters, and a vast open-world to explore, players must navigate alliances and rivalries to rise to the top of the criminal underworld.",English,78,"Platformer, Realistic, Choices Matter",16
152,Spider-Man,Action,2000-8-30,"Swing through the city as Spider-Man, battling villains and saving civilians in this thrilling action-packed game. Use your web-slinging abilities and combat skills to take down enemies and protect the city from danger. Experience the ultimate superhero adventure in 'Spider-Man'.","French, German, Korean, Spanish",84,"Horror, Casual, Story Rich",18
153,Spider-Man 2,Action,2004-6-28,"Swing through the city as Spider-Man in this action-packed game sequel. Battle villains, complete missions, and explore an open-world New York City. Master Spidey's acrobatic moves and web-slinging abilities to save the day.","English, German, Korean",68,"Sandbox, Turn-based Combat, Relaxing, First-Person Shooter",0
154,Spider-Man: The Movie,Action,2002-4-15,"Swing through the city as Spider-Man in this thrilling action game based on the hit movie. Battle iconic villains, save the city from chaos, and master Spidey's acrobatic moves to become the ultimate superhero.",English,182,"Survival, Multiple Endings, Platformer",16
155,Sports Champions,Sports,2010-9-17,"Sports Champions' is a collection of six different sports games, including tennis, archery, and boxing, designed exclusively for PlayStation Move. Compete in solo challenges or multiplayer matches to become the ultimate sports champion.","Chinese, English, Japanese",78,"Platformer, Action RPG, Co-op, Adventure",16
156,Star Wars Battlefront,Shooter,2004-9-20,"Immerse yourself in the iconic Star Wars universe with intense multiplayer battles in Star Wars Battlefront. Choose your side, whether Rebel Alliance or Galactic Empire, and engage in epic battles across iconic planets. Utilize iconic weapons and vehicles to dominate the battlefield and become a hero of the galaxy.","English, Japanese",96,"Action RPG, Story Rich, Sci-Fi",18
157,Star Wars Battlefront (2015),Shooter,2015-11-17,Star Wars Battlefront (2015) is a fast-paced shooter game set in the iconic Star Wars universe. Players can choose to fight for the Rebel Alliance or the Galactic Empire in intense multiplayer battles across iconic locations such as Hoth and Endor. May the Force be with you.,"Chinese, English, French, German, Japanese, Spanish",185,"Visual Novel, Relaxing, Survival",18
158,Star Wars Battlefront II,Shooter,2005-11-1,"Star Wars Battlefront II is an action-packed shooter game set in the Star Wars universe. Players can engage in epic battles across iconic locations, customize their characters, and team up with friends in multiplayer modes. Join the fight for the galaxy in this thrilling and immersive gaming experience.",English,159,"Survival, Choices Matter, Relaxing",16
159,Star Wars Battlefront II (2017),Shooter,2017-11-17,"Star Wars Battlefront II (2017) is a fast-paced shooter game set in the Star Wars universe. Players can choose to fight for the Galactic Empire or Rebel Alliance, engaging in intense multiplayer battles across iconic locations from the films.",English,128,"Third-Person, Car Simulation, Casual, Multiple Endings",10
160,Star Wars Episode III: Revenge of the Sith,Action,2005-5-4,"Join the dark side or fight for the light as Anakin Skywalker in Star Wars Episode III: Revenge of the Sith. Engage in epic lightsaber battles, master the Force, and make crucial decisions that will shape the fate of the galaxy in this action-packed game.",English,70,"Roguelike, Platformer, Visual Novel, Adventure, Co-op",0
161,Street Fighter IV,Fighting,2009-2-17,"Join iconic characters like Ryu, Chun-Li, and Ken in intense one-on-one battles in Street Fighter IV. Master special moves and combos to defeat opponents in this classic fighting game. Choose your fighter wisely and show your skills in epic showdowns.","Chinese, English, French, German, Japanese, Korean, Spanish",208,"Family Friendly, Roguelike, Choices Matter, Racing, Multiplayer",0
162,Teenage Mutant Ninja Turtles,Platform,1989-6-1,"Join Leonardo, Michelangelo, Donatello, and Raphael in this action-packed platform game as they battle their way through the sewers of New York City to defeat their arch-nemesis, Shredder, and his evil Foot Clan. Master ninja skills, teamwork, and pizza power-ups to save the city from destruction.","English, French, German, Korean",93,"Choices Matter, Multiplayer, Car Simulation, Sandbox, Sci-Fi",10
163,Tekken 2,Fighting,1996-8-25,"""Tekken 2"" is a classic fighting game where players compete in one-on-one battles using a variety of martial arts and special moves. Choose from a diverse roster of characters, each with their own unique fighting style, as you battle your way to the top in intense, fast-paced matches.","English, German, Spanish",653,"Puzzle, Choices Matter, Multiplayer, Fantasy, Visual Novel",18
164,Tekken 4,Fighting,2002-9-23,"""Tekken 4"" is a fast-paced fighting game that pits iconic characters against each other in intense one-on-one battles. With improved graphics and new gameplay mechanics, players can experience the thrill of hand-to-hand combat like never before.","French, German, Spanish",78,"Family Friendly, First-Person Shooter, Sci-Fi, Multiple Endings",0
165,Tekken Tag Tournament,Fighting,2000-10-25,"""Tekken Tag Tournament is a fast-paced fighting game where players can tag in and out characters to create powerful combos. With a diverse roster of fighters, intense battles, and stunning graphics, it's a must-play for fans of the genre.""",French,143,"Relaxing, Action RPG, First-Person Shooter, Casual",18
166,The Elder Scrolls IV: Oblivion,Role-Playing,2009-7-7,"Embark on an epic adventure in the fantasy world of Tamriel, where you must navigate political intrigue, battle fierce creatures, and uncover the secrets of the mysterious Oblivion Gates. Customize your character's skills and abilities as you explore a vast open world filled with quests and dangers.","Chinese, English, French, Japanese, Korean, Spanish",212,"Crafting, Multiplayer, Sci-Fi, Puzzle, First-Person Shooter",10
167,The Elder Scrolls V: Skyrim,Role-Playing,2011-11-11,"In Skyrim, players navigate a vast open world filled with dragons, magic, and epic quests. Choose your path as Dragonborn and shape the fate of the land through your decisions. Master skills, forge alliances, and uncover ancient secrets in this legendary RPG adventure.","Chinese, English, French, German, Japanese",441,"Racing, Sci-Fi, Action RPG, Crafting",16
168,The Elder Scrolls V: Skyrim Special Edition,Role-Playing,2016-10-28,"Embark on an epic adventure in the vast open world of Skyrim. As the Dragonborn, explore dungeons, battle dragons, and make choices that shape the fate of the land. With enhanced graphics and all DLC included, this Special Edition offers a truly immersive RPG experience.","English, German",116,"Tactical, Sandbox, Puzzle, Story Rich, Realistic",0
169,The Getaway,Action,2003-1-19,"The Getaway' is a fast-paced action game where players must navigate through dangerous city streets, evading police and rival gangs as they try to make their escape. With intense car chases, shootouts, and stealth missions, every decision could mean life or death in this thrilling urban adventure.",English,83,"Racing, Open World, Relaxing, Horror",0
170,The Lord of the Rings: The Return of the King,Action,2003-11-5,"Join the Fellowship on their epic journey to destroy the One Ring and defeat Sauron in this action-packed game. Play as iconic characters like Aragorn, Legolas, and Gandalf as you battle through hordes of enemies and epic boss fights to save Middle-earth in The Lord of the Rings: The Return of the King.","English, French, Korean",70,"Adventure, Strategy, Fantasy",10
171,The Lord of the Rings: The Two Towers,Action,2002-10-21,"Join the Fellowship in an epic battle against Sauron's forces in 'The Lord of the Rings: The Two Towers'. Play as Aragorn, Legolas, and Gimli in this action-packed game based on the hit movie, featuring intense combat and iconic locations from Middle-earth.","English, Japanese",414,"Casual, Strategy, Turn-based Combat, Racing, Multiple Endings",0
172,The Simpsons: Hit & Run,Racing,2003-9-16,"The Simpsons: Hit & Run' is a fast-paced racing game based on the popular animated TV show. Players can race through the streets of Springfield, completing missions and causing chaos along the way. With familiar characters and humorous dialogue, it's a fun and exciting game for fans of the show.",English,246,"Strategy, Multiplayer, Tactical",10
173,The Simpsons: Road Rage,Racing,2001-11-24,"Race through Springfield as your favorite characters from The Simpsons in this fast-paced arcade-style game. Choose from a variety of vehicles and compete in wild, chaotic races to earn cash and unlock new levels. Can you outsmart your opponents and become the ultimate road rage champion?",English,137,"Family Friendly, Third-Person, Co-op",0
174,The Sims 3,Simulation,2009-6-2,"Manage virtual people in a variety of activities, careers, and relationships in The Sims 3. Customize homes, personalities, and ambitions as you guide your Sims through life's challenges and triumphs. Immerse yourself in this interactive world where every decision shapes their destiny.",English,342,"Sci-Fi, Family Friendly, Survival",10
175,The Sims 4,Simulation,2014-9-2,"In The Sims 4, players create and control virtual characters, guiding them through everyday life activities, relationships, and career choices. With customizable homes and personalities, players can explore endless possibilities and create unique stories in this popular life simulation game.","Chinese, Spanish",91,"Tactical, Family Friendly, Roguelike, Multiplayer",0
176,The Sims: Livin Large,Misc,2000-8-27,"Expand your Sims' world with new career options, home decor, and quirky items in The Sims: Livin Large expansion pack. Dive into a world of extravagant parties, eccentric characters, and unexpected surprises. Will your Sims thrive in this larger-than-life expansion?",English,116,"Racing, Relaxing, Casual, Horror, Multiple Endings",16
177,The Sims: Unleashed,Simulation,2002-9-23,"In 'The Sims: Unleashed', players can expand their virtual worlds with new pets, gardening, and outdoor activities. Customize your Sims' homes, explore new neighborhoods, and watch as your Sims' lives unfold in this expansion pack for the popular simulation game.","English, Japanese",96,"Sandbox, Fantasy, Car Simulation, Co-op",0
178,The Sims: Vacation,Simulation,2002-3-25,"Experience the ultimate getaway in The Sims: Vacation! Design your dream holiday destination, from luxurious resorts to adventurous camping sites. Explore new activities like snorkeling, mountain climbing, and more. Relax, unwind, and create unforgettable memories in this virtual paradise.","Chinese, French, German, Japanese, Korean",122,"Exploration, Choices Matter, Multiplayer, Survival",16
